# Emoji English Codes - Generated from Unicode names
# Format: code emoji [emoji ...]
1_2 🏻
heart_with_arrow 💘
heart_with_ribbon 💝
heavy_black_heart ❤️‍🩹 ❤️‍🔥
heavy_check_mark ✔
heavy_division_sign ➗
heavy_dollar_sign 💲
heavy_equals_sign 🟰
heavy_exclamation_mark_symbol ❗
heavy_heart_exclamation_mark_ornament ❣️
heavy_large_circle ⭕
heavy_minus_sign ➖
heavy_multiplication_x ✖️
heavy_plus_sign ➕
hedgehog 🦔
helicopter 🚁
helmet_with_white_cross ⛑️
herb 🌿
hibiscus 🌺
high_brightness_symbol 🔆
high_heeled_shoe 👠
high_speed_train 🚄
high_speed_train_with_bullet_nose 🚅
high_voltage_sign ⚡
hiking_boot 🥾
hindu_temple 🛕
hippopotamus 🦛
hocho 🔪
hole 🕳
honey_pot 🍯
honeybee 🐝
hook 🪝
horizontal_traffic_light 🚥
horse 🐎
horse_face 🐴
horse_racing 🏇
hospital 🏥
hot_beverage ☕
hot_dog 🌭
hot_pepper 🌶
hot_springs ♨️
hotel 🏨
hourglass ⌛
hourglass_with_flowing_sand ⏳
house_building 🏠
house_buildings 🏘
house_with_garden 🏡
hugging_face 🤗
hundred_points_symbol 💯
hushed_face 😯
hut 🛖
hyacinth 🪻
i_love_you_hand_sign 🤟
ice_cream 🍨
ice_cube 🧊
ice_hockey_stick_and_puck 🏒
ice_skate ⛸
identification_card 🪪
imp 👿
inbox_tray 📥
incoming_envelope 📨
index_pointing_at_the_viewer 🫵
indian_rupee_sign ₹
information_desk_person 💁‍♀️ 💁‍♂️
information_source ℹ️
input_symbol_for_latin_capital_letters 🔠
input_symbol_for_latin_letters 🔤
input_symbol_for_latin_small_letters 🔡
input_symbol_for_numbers 🔢
input_symbol_for_symbols 🔣
izakaya_lantern 🏮
jack_o_lantern 🎃
japanese_castle 🏯
japanese_dolls 🎎
japanese_goblin 👺
japanese_ogre 👹
japanese_post_office 🏣
japanese_symbol_for_beginner 🔰
jar 🫙
jeans 👖
jellyfish 🪼
jigsaw_puzzle_piece 🧩
joystick 🕹
juggling 🤹‍♀️ 🤹‍♂️
kaaba 🕋
kangaroo 🦘
key 🔑
keyboard ⌨️
keycap_ten 🔟
khanda 🪯
kimono 👘
kiss_mark 💋
kissing_cat_face_with_closed_eyes 😽
kissing_face 😗
kissing_face_with_closed_eyes 😚
kissing_face_with_smiling_eyes 😙
kite 🪁
kiwifruit 🥝
kneeling_person 🧎‍♀️ 🧎‍♂️
knot 🪢
koala 🐨
lab_coat 🥼
label 🏷
lacrosse_stick_and_ball 🥍
ladder 🪜
lady_beetle 🐞
large_blue_circle 🔵
large_blue_diamond 🔷
large_blue_square 🟦
large_brown_circle 🟤
large_brown_square 🟫
large_green_circle 🟢
large_green_square 🟩
large_orange_circle 🟠
large_orange_diamond 🔶
large_orange_square 🟧
large_purple_circle 🟣
large_purple_square 🟪
large_red_circle 🔴
large_red_square 🟥
large_yellow_circle 🟡
large_yellow_square 🟨
last_quarter_moon_symbol 🌗
last_quarter_moon_with_face 🌜
latin_capital_letter_h HK$
latin_capital_letter_m MOP$
latin_capital_letter_s S$
latin_cross ✝️
leaf_fluttering_in_wind 🍃
leafless_tree 🪾
leafy_green 🥬
ledger 📒
left_facing_fist 🤛
left_luggage 🛅
left_pointing_magnifying_glass 🔍
left_right_arrow ↔️
left_speech_bubble 🗨
leftwards_arrow_with_hook ↩️
leftwards_black_arrow ⬅️
leftwards_hand 🫲
leftwards_pushing_hand 🫷
leg 🦵
lemon 🍋‍🟩 🍋
leo ♌
leopard 🐆
level_slider 🎚
libra ♎
light_blue_heart 🩵
light_rail 🚈
link_symbol 🔗
linked_paperclips 🖇
lion_face 🦁
lipstick 💄
lizard 🦎
llama 🦙
lobster 🦞
lock 🔒
lock_with_ink_pen 🔏
lollipop 🍭
long_drum 🪘
lotion_bottle 🧴
lotus 🪷
loudly_crying_face 😭
love_hotel 🏩
love_letter 💌
low_battery 🪫
low_brightness_symbol 🔅
lower_left_ballpoint_pen 🖊
lower_left_crayon 🖍
lower_left_fountain_pen 🖋
lower_left_paintbrush 🖌
luggage 🧳
lungs 🫁
lying_face 🤥
mage 🧙‍♀️ 🧙‍♂️
magic_wand 🪄
magnet 🧲
mahjong_tile_red_dragon 🀄
male_sign ♂
male_with_stroke_and_male_and_female_sign ⚧
mammoth 🦣
man 👨‍❤️‍👨 👨‍🦳 👨‍🦲 👨‍🍼 👨‍🌾 👨‍👩‍👧 👨‍🦰 👨‍🏫 👨‍🚒 👨‍🍳 👨 👨‍⚖️ 👨‍🎨 👨‍🚀 👨‍💼 👨‍🔧 👨‍👧 👨‍🦱 👨‍🎤 👨‍🦼 👨‍🔬 👨‍🦽 👨‍👩‍👧‍👧 👨‍👩‍👦‍👦 👨‍🎓 👨‍🦯 👨‍💻 👨‍👩‍👦 👨‍🏭 👨‍👦 👨‍⚕️ 👨‍👩‍👧‍👦 👨‍✈️
man_and_woman_holding_hands 👫
man_dancing 🕺
man_in_business_suit_levitating 🕴
man_in_tuxedo 🤵‍♀️ 🤵‍♂️
man_with_gua_pi_mao 👲
man_with_turban 👳‍♀️ 👳‍♂️
mango 🥭
mans_shoe 👞
mantelpiece_clock 🕰
manual_wheelchair 🦽
maple_leaf 🍁
maracas 🪇
martial_arts_uniform 🥋
mate_drink 🧉
meat_on_bone 🍖
mechanical_arm 🦾
mechanical_leg 🦿
medium_black_circle ⚫
medium_white_circle ⚪
melon 🍈
melting_face 🫠
memo 📝
menorah_with_nine_branches 🕎
mens_symbol 🚹
merperson 🧜‍♀️ 🧜‍♂️
metro 🚇
microbe 🦠
microphone 🎤
microscope 🔬
military_helmet 🪖
military_medal 🎖
milky_way 🌌
minibus 🚐
minidisc 💽
mirror 🪞
mirror_ball 🪩
mobile_phone 📱
mobile_phone_off 📴
mobile_phone_with_rightwards_arrow_at_left 📲
money_bag 💰
money_mouth_face 🤑
money_with_wings 💸
monkey 🐒
monkey_face 🐵
monorail 🚝
moon_cake 🥮
moon_viewing_ceremony 🎑
moose 🫎
mosque 🕌
mosquito 🦟
mother_christmas 🤶
motor_boat 🛥
motor_scooter 🛵
motorized_wheelchair 🦼
motorway 🛣
mount_fuji 🗻
mountain ⛰️
mountain_bicyclist 🚵‍♂️ 🚵‍♀️
mountain_cableway 🚠
mountain_railway 🚞
mouse 🐁
mouse_face 🐭
mouse_trap 🪤
mouth 👄
movie_camera 🎥
moyai 🗿
multiple_musical_notes 🎶
mushroom 🍄 🍄‍🟫
musical_keyboard 🎹
musical_note 🎵
musical_score 🎼
nail_polish 💅
name_badge 📛
national_park 🏞
nauseated_face 🤢
nazar_amulet 🧿
necktie 👔
negative_squared_ab 🆎
negative_squared_cross_mark ❎
negative_squared_latin_capital_letter_a 🅰️
negative_squared_latin_capital_letter_b 🅱️
negative_squared_latin_capital_letter_o 🅾️
negative_squared_latin_capital_letter_p 🅿️
nerd_face 🤓
nest_with_eggs 🪺
nesting_dolls 🪆
neutral_face 😐
new_moon_symbol 🌑
new_moon_with_face 🌚
newspaper 📰
night_with_stars 🌃
ninja 🥷
no_bicycles 🚳
no_entry ⛔
no_entry_sign 🚫
no_mobile_phones 📵
no_one_under_eighteen_symbol 🔞
no_pedestrians 🚷
no_smoking_symbol 🚭
non_potable_water_symbol 🚱
north_east_arrow ↗️
north_west_arrow ↖️
nose 👃
notebook 📓
notebook_with_decorative_cover 📔
nut_and_bolt 🔩
octagonal_sign 🛑
octopus 🐙
oden 🍢
office_building 🏢
oil_drum 🛢
ok_hand_sign 👌
old_key 🗝
older_man 👴
older_woman 👵
olive 🫒
om_symbol 🕉
on_with_exclamation_mark_with_left_right_arrow_above 🔛
oncoming_automobile 🚘
oncoming_bus 🚍
oncoming_police_car 🚔
oncoming_taxi 🚖
one_piece_swimsuit 🩱
onion 🧅
open_book 📖
open_file_folder 📂
open_hands_sign 👐
open_lock 🔓
ophiuchus ⛎
optical_disc 💿
orange_book 📙
orange_heart 🧡
orangutan 🦧
orthodox_cross ☦️
otter 🦦
outbox_tray 📤
overheated_face 🥵
owl 🦉
ox 🐂
oyster 🦪
package 📦
page_facing_up 📄
page_with_curl 📃
pager 📟
palm_down_hand 🫳
palm_tree 🌴
palm_up_hand 🫴
palms_up_together 🤲
pancakes 🥞
panda_face 🐼
paperclip 📎
parachute 🪂
parrot 🦜
part_alternation_mark 〽️
party_popper 🎉
passenger_ship 🛳
passport_control 🛂
paw_prints 🐾
pea_pod 🫛
peace_symbol ☮️
peach 🍑
peacock 🦚
peanuts 🥜
pear 🍐
pedestrian 🚶‍♂️‍➡️ 🚶‍♀️ 🚶‍♀️‍➡️ 🚶‍♂️
pencil ✏️
penguin 🐧
pensive_face 😔
people_hugging 🫂
performing_arts 🎭
persevering_face 😣
person_bowing_deeply 🙇‍♀️ 🙇‍♂️
person_climbing 🧗‍♀️ 🧗‍♂️
person_doing_cartwheel 🤸‍♀️ 🤸‍♂️
person_frowning 🙍‍♀️ 🙍‍♂️
person_in_lotus_position 🧘‍♂️ 🧘‍♀️
person_in_steamy_room 🧖‍♀️ 🧖‍♂️
person_raising_both_hands_in_celebration 🙌
person_with_ball ⛹️‍♂️ ⛹️‍♀️
person_with_blond_hair 👱‍♀️ 👱‍♂️ 👱
person_with_crown 🫅
person_with_folded_hands 🙏
person_with_headscarf 🧕
person_with_pouting_face 🙎‍♂️ 🙎‍♀️
personal_computer 💻
petri_dish 🧫
pick ⛏️
pickup_truck 🛻
pie 🥧
pig 🐖
pig_face 🐷
pig_nose 🐽
pile_of_poo 💩
pill 💊
pinata 🪅
pinched_fingers 🤌
pinching_hand 🤏
pine_decoration 🎍
pineapple 🍍
pink_heart 🩷
pisces ♓
pistol 🔫
placard 🪧
place_of_worship 🛐
playground_slide 🛝
playing_card_black_joker 🃏
plunger 🪠
police_car 🚓
police_cars_revolving_light 🚨
police_officer 👮‍♀️ 👮‍♂️
poodle 🐩
popcorn 🍿
postal_horn 📯
postbox 📮
pot_of_food 🍲
potable_water_symbol 🚰
potato 🥔
potted_plant 🪴
pouch 👝
poultry_leg 🍗
pound_sign £
pouring_liquid 🫗
pouting_cat_face 😾
pouting_face 😡
prayer_beads 📿
pregnant_man 🫃
pregnant_woman 🤰
pretzel 🥨
prince 🤴
princess 👸
printer 🖨
probing_cane 🦯
public_address_loudspeaker 📢
purple_heart 💜
purse 👛
pushpin 📌
put_litter_in_its_place_symbol 🚮
rabbit 🐇
rabbit_face 🐰
raccoon 🦝
racing_car 🏎
racing_motorcycle 🏍
radio 📻
radio_button 🔘
radioactive_sign ☢️
railway_car 🚃
railway_track 🛤
rainbow 🌈
raised_back_of_hand 🤚
raised_fist ✊
raised_hand ✋
raised_hand_with_fingers_splayed 🖐
raised_hand_with_part_between_middle_and_ring_fingers 🖖
ram 🐏
rat 🐀
razor 🪒
receipt 🧾
recreational_vehicle 🚙
red_apple 🍎
red_gift_envelope 🧧
regional_indicator_symbol_letter_a 🇦🇱 🇦🇹 🇦🇷 🇦🇸 🇦🇿 🇦🇴 🇦🇫 🇦🇲 🇦🇮 🇦🇽 🇦🇶 🇦🇼 🇦🇨 🇦🇬 🇦🇩 🇦🇺 🇦🇪
regional_indicator_symbol_letter_b 🇧🇴 🇧🇸 🇧🇦 🇧🇾 🇧🇱 🇧🇲 🇧🇹 🇧🇶 🇧🇻 🇧🇿 🇧🇮 🇧🇳 🇧🇫 🇧🇧 🇧🇼 🇧🇪 🇧🇬 🇧🇷 🇧🇩 🇧🇭 🇧🇯
regional_indicator_symbol_letter_c 🇨🇵 🇨🇺 🇨🇲 🇨🇫 🇨🇦 🇨🇴 🇨🇬 🇨🇾 🇨🇨 🇨🇮 🇨🇳 🇨🇶 🇨🇻 🇨🇿 🇨🇼 🇨🇽 🇨🇱 🇨🇷 🇨🇰 🇨🇭 🇨🇩
regional_indicator_symbol_letter_d 🇩🇿 🇩🇲 🇩🇴 🇩🇰 🇩🇪 🇩🇯 🇩🇬
regional_indicator_symbol_letter_e 🇪🇺 🇪🇸 🇪🇷 🇪🇨 🇪🇪 🇪🇬 🇪🇭 🇪🇦 🇪🇹
regional_indicator_symbol_letter_f 🇫🇷 🇫🇰 🇫🇴 🇫🇮 🇫🇲 🇫🇯
regional_indicator_symbol_letter_g 🇬🇮 🇬🇦 🇬🇫 🇬🇾 🇬🇹 🇬🇬 🇬🇪 🇬🇶 🇬🇷 🇬🇺 🇬🇲 🇬🇵 🇬🇭 🇬🇱 🇬🇳 🇬🇸 🇬🇩 🇬🇼 🇬🇧
regional_indicator_symbol_letter_h 🇭🇹 🇭🇺 🇭🇰 🇭🇲 🇭🇳 🇭🇷
regional_indicator_symbol_letter_i 🇮🇲 🇮🇩 🇮🇪 🇮🇸 🇮🇶 🇮🇹 🇮🇨 🇮🇷 🇮🇱 🇮🇳 🇮🇴
regional_indicator_symbol_letter_j 🇯🇪 🇯🇲 🇯🇵 🇯🇴
regional_indicator_symbol_letter_k 🇰🇬 🇰🇷 🇰🇵 🇰🇿 🇰🇭 🇰🇼 🇰🇾 🇰🇲 🇰🇳 🇰🇪 🇰🇮
regional_indicator_symbol_letter_l 🇱🇨 🇱🇦 🇱🇷 🇱🇮 🇱🇧 🇱🇸 🇱🇺 🇱🇾 🇱🇹 🇱🇰 🇱🇻
